spotify_id,valence,danceability,energy,number_of_emotion_tags,valence_tags,arousal_tags,dominance_tags,tempo,key,mode,instrumentalness,liveness,speechiness,acousticness,loudness
7GAJY8xLOhz9W5PNNGsXSG,0.715,0.388,0.58,1.0,4.24,5.19,5.35,140.441,7.0,1.0,0.0,0.206,0.0339,0.00744,-8.013
7wfpYvMzh11XJeEFuZYaOX,0.202,0.489,0.238,4.0,3.555,3.1950000000000003,4.325,112.375,2.0,0.0,0.00033,0.135,0.0305,0.214,-14.859000000000002
5Xp2Jd8D0MYKhdanZyiYcO,0.6459999999999999,0.528,0.698,5.0,3.648333333333334,3.5966666666666667,4.681666666666667,130.053,2.0,1.0,0.000203,0.143,0.0997,0.6,-9.602
3ewFOv5hsOEtIdmNuiyJIV,0.474,0.434,0.912,2.0,6.305,5.755000000000001,6.195,165.28599999999997,6.0,1.0,0.677,0.0753,0.0583,0.621,-4.039
57jsZAk8iqJgfTdOu54QiO,0.231,0.476,0.28,6.0,3.2260000000000004,3.366,4.258,70.58,1.0,1.0,0.00181,0.154,0.0309,0.887,-12.23
71jXhfy0OIGACtq2GaIzOa,0.484,0.473,0.478,4.0,2.7425,3.395,3.935,88.62799999999999,9.0,1.0,0.0257,0.111,0.0435,0.107,-13.267
70uZuq0hyAjBXiTYPm27lJ,0.779,0.614,0.3720000000000001,3.0,2.513333333333333,3.3233333333333337,3.433333333333333,93.933,9.0,0.0,9.23e-05,0.0716,0.028,0.0855,-16.945
3jEIugVlCWeo0mhv5K1dwP,0.514,0.529,0.494,4.0,2.8907843137254905,3.436078431372549,3.606372549019608,80.133,0.0,1.0,8.56e-05,0.0575,0.0264,0.0733,-13.272
7lheW7M1L5UF2CnsyL3pIs,0.0745,0.133,0.235,4.0,2.88,3.438,4.236,80.967,1.0,1.0,0.467,0.0667,0.0369,0.7759999999999999,-13.38
13V1natmlalIodyYhv6JSS,0.7509999999999999,0.715,0.202,3.0,2.513333333333333,3.3233333333333333,3.433333333333333,87.564,7.0,1.0,0.111,0.0973,0.044,0.399,-19.747
1LVE84dyyEKAW1uptJguTL,0.8740000000000001,0.659,0.481,4.0,2.7425,3.395,3.935,138.951,7.0,1.0,0.0162,0.27,0.0414,0.227,-16.598
409jKN8Chh8tzFiuKO4HpH,0.964,0.7090000000000001,0.928,3.0,5.86,4.836666666666667,5.8566666666666665,140.067,9.0,1.0,1.86e-06,0.157,0.0457,0.0975,-5.5070000000000014
4TgMVibUlFw4IVojfJ3kcG,0.861,0.738,0.416,6.0,6.823333333333334,5.0600000000000005,6.1000000000000005,118.222,9.0,1.0,0.0,0.158,0.0747,0.413,-15.447
24tgf16nxIbVclDtuMi4Nj,0.3,0.4920000000000001,0.185,5.0,3.548125,3.6034375,4.954375000000001,96.347,7.0,1.0,8.73e-06,0.28,0.0403,0.8220000000000001,-17.097
3qiyyUfYe7CRYLucrPmulD,0.15,0.489,0.7240000000000001,3.0,2.5133333333333336,3.3233333333333337,3.433333333333333,117.292,5.0,1.0,0.185,0.287,0.0352,0.313,-8.367
0Fwm8Fn4EHjrgKtbUGtrZ9,0.679,0.499,0.357,6.0,4.991666666666666,4.293333333333334,4.935,111.437,5.0,1.0,3.83e-06,0.408,0.0826,0.688,-12.422
1kTVJHll6cl8SyH2Op2EEr,0.434,0.669,0.684,11.0,5.471,4.47,5.346,142.079,3.0,1.0,0.00445,0.1,0.0483,0.356,-8.753
0uP96e0TWO6LOHnSjvCENa,0.669,0.696,0.623,4.0,4.6565625,4.11890625,4.4046875,124.82,9.0,0.0,3.63e-05,0.8440000000000001,0.0471,0.139,-10.282
17hdHrBZWGtBjUiejapzKG,0.234,0.519,0.363,4.0,2.7425,3.395,3.935,70.66199999999998,3.0,1.0,6.38e-06,0.11,0.0342,0.866,-9.652
5F0b2zAnoN5aEcRR7cJ0ZA,0.355,0.606,0.411,4.0,3.4125,3.505,3.77,115.837,4.0,1.0,0.0591,0.107,0.0349,0.5870000000000001,-11.09
