spotify_id,artist,name,popularity,release_date,genre,explicit,duration_ms,featured_artists
3xNO6JUk9ySYjxuqzcZYRB,Bob Dylan,"If You See Her, Say Hello",51,1975-01-17,folk,0,288000,[]
7vTCIwHvCT3zMmtYBo0uff,Avril Lavigne,How Does It Feel,47,2004,rock,0,224933,[]
1tL40tfdtUaSLek4DvDDr3,Blue October,Hate Me,58,2006-01-01,rock,0,380200,[]
2RttW7RAu5nOAfq6YFvApB,Ed Sheeran,Happier,82,2017-03-03,pop,0,207520,[]
6bfnA0cwvc7xPoEGiMznnN,Straylight Run,Existentialism On Prom Night,49,2004,emo,0,241453,[]
30Zcjs7pgEkmJA1lEbGSWT,Kanye West,FML,67,2016-06-10,hip-hop,1,236120,[]
39Odj4vLKRarATkCA31gaW,Lykke Li,Possibility,60,2009-10-09,soundtrack,0,306440,[]
1o4Pf2GIMDCD7ifIM2yI77,Three Days Grace,Last to Know,57,2009-09-22,alternative rock,0,207467,[]
4hrAKlxfblnG7llBEEX7TR,Leona Lewis,Run,66,2007,pop,0,314720,[]
3cSlU4ZH4wzb5pM7wI1k3f,Kurt Vile,Wakin on a Pretty Day,59,2013-04-08,indie,0,570733,[]
0tMSssfxAL2oV8Vri0mFHE,Billie Eilish,listen before i go,79,2019-03-29,pop,0,242652,[]
4Mn98rZNPGUNvl6aQBLnve,Moby,One Of These Mornings,40,2002-05-02,electronic,0,192693,[]
0Bo7grcJ9Api986n2RNcA8,Tegan and Sara,Call It Off,44,2007-07-24,indie,0,141493,[]
0WHOPmOuQKuu05k4g3UTvk,Everclear,Wonderful,58,2000-01-01,alternative rock,0,280813,[]
23luOrEVHMfoX0AhfbQuS6,Kendrick Lamar,FEAR.,65,2017-04-14,hip-hop,1,460573,[]
47PQWnMc01EmIH0PD2UuGb,Roxette,Spending My Time,47,1991-03-28,pop,0,275667,[]
4ibzxSKw3a6rtIorruN5GO,John Mayer,Something's Missing,53,2003-09-09,rock,0,304440,[]
1gg2pjLIkcxSnNfGORJ0u5,Bullet for My Valentine,A Place Where You Belong,49,2010-04-20,metalcore,0,306467,['Bullet For My Valentine']
5aUtonvQxGEL8T1rKI3J01,Disturbed,Darkness,42,2002-09-16,rock,0,236600,[]
0JP9xo3adEtGSdUEISiszL,xxxtentacion,Moonlight,85,2018-03-16,hip-hop,1,135090,['XXXTENTACION']
06cCziAHtDg6pcsidZHu03,The 1975,Robbers,65,2013,indie rock,0,254510,[]
6XBESVu7z0o2UTsCXLhbx9,Escape the Fate,The Day I Left The Womb,45,2006-10-03,acoustic,0,144893,[]
5mXcLmgkTDJeSSqDMQnhUh,Story of the Year,Sidewalks,46,2003-09-16,emo,0,214707,['Story Of The Year']
4rEle6gif1VERA41tjOTIq,King Crimson,Epitaph,55,1969-10-10,progressive rock,0,526823,[]
4l0Mvzj72xxOpRrp6h8nHi,Selena Gomez,Lose You To Love Me,84,2020-01-10,pop,0,206459,[]
616cVydBdvTudiKpoWs0WY,The Offspring,"Kristy, Are You Doing Okay?",50,2008-06-17,rock,0,222867,[]
68Iw932AjRCDEPLIzpmOtF,Keith Urban,You’ll Think Of Me,47,2002-01-01,country,0,293600,[]
38ydcsbayM4oX21Hhu84DT,Sharon Van Etten,Every Time the Sun Comes Up,63,2014-05-27,indie,0,262520,[]
4HHge4zAyIw3pkrtFzmwCl,Carole King,So Far Away,61,1971,singer-songwriter,0,235627,[]
1maOjghpUSvVHj9F9WPujZ,Christina Aguilera,You Lost Me,54,2010-06-08,pop,0,257253,[]
56J7o1BuXpJH2UXqElmsEF,Rilo Kiley,Does He Love You?,37,2004-07-27,indie,0,313400,[]
16Fp67kTFhH0XK5Cl6Oz7r,My Chemical Romance,Demolition Lovers,57,2002,emo,0,366560,[]
7m6w9ijsXoXhYoyeAbA5Oy,Lifehouse,Blind,54,2005-03-22,rock,0,300067,[]
64KrFHj9p5AyCX2yZQr4YJ,Michael Jackson,Stranger in Moscow,58,1995-06-16,pop,0,343960,[]
6ZixnWzzH1YxqBg9kLOPDy,Citizen Cope,Sideways,57,2004,chill,0,322187,[]
1ODEng2FFlNltR6S949ynx,The Cranberries,No Need To Argue,51,1994-10-03,rock,0,174667,[]
4u4gi3VbzXQopL8VatxoPV,Limp Bizkit,Hold On,52,2000-10-17,nu metal,0,347573,[]
7rFhh71IiBfOCM4EhMwuEb,AFI,The Leaving Song Pt. II,50,2003,punk,0,211040,[]
4eSGSqP2TZvvX0kadZZttM,Drake,Doing It Wrong,69,2011-11-15,hip-hop,1,265120,[]
6NSJOIyKYcRZh28Kf0URTw,Michelle Branch,Goodbye to You,57,2001-07-31,pop,0,251200,[]
2vBiZ7nBe0OqTZKWGP0s4K,Nickelback,Lullaby,64,2011-11-14,rock,0,228107,[]
5eVjE8FDSDXQLSbTZSA5Qv,Bob Dylan,Buckets of Rain,51,1975-01-17,folk,0,203507,[]
2rJWnAqSuLMls0KOv416Io,Colbie Caillat,I Never Told You,57,2009,pop,0,233200,[]
0VXfZi7XhfJnuBvF6XiypU,Childish Gambino,"III. Telegraph Ave. (""Oakland"" by Lloyd)",63,2013-12-10,hip-hop,1,210673,[]
1dYw8HTRJnFpeEeMtXj99a,Linkin Park,ROADS UNTRAVELED,64,2012-06-20,alternative rock,0,229933,[]
3rJPNd3AMBsZ0P0rcLR8ey,Dashboard Confessional,The Best Deceptions,42,2001-03-20,emo,0,254800,[]
2Uovs7m5wttaD4qkr8vrzo,The Cranberries,Twenty One,50,1994-10-03,rock,0,187907,[]
7ddJJFmXZ3984IbVEKinp5,Secondhand Serenade,Your Call,56,2007,acoustic,0,222320,[]
0nUPuUnqVLOZFayUzxi1JG,Elliott Smith,Clementine,37,1995-07-01,indie,0,166320,[]
69uJi5QsBtqlYkGURTBli8,Bonnie Raitt,I Can't Make You Love Me,68,1991-01-01,blues,0,332960,[]
69uJi5QsBtqlYkGURTBli8,Bonnie Raitt,I Can't Make You Love Me,68,1991-01-01,blues,0,332960,[]
0T9tbj6zsRKLiUx06sbOWX,Alter Bridge,In Loving Memory,56,2004-08-10,rock,0,340107,[]
6ZTfXBZU6eCrGdmSdWwaZv,Missy Higgins,Where I Stood,48,2007-10-01,piano,0,257453,[]
3Ho1fz8s0zvJFfJuQzNKvu,The Format,On Your Porch,43,2003-10-21,acoustic,0,311707,[]
4D9nUA02hk2cxLu2Ok2DLo,Box Car Racer,Elevator,43,2002-01-01,punk,0,165467,[]
2DLfiDGID5hImlSz17wcDW,Eels,That Look You Give That Guy,41,2009-06-02,indie,0,256267,[]
1mfXhl9lnAnyiENJRw3CG5,Weezer,Hold Me,41,2005-05-10,rock,0,262560,[]
0f9fM6DdpJM79NQ1XbHcjJ,Ben Folds,Still Fighting It,41,2001-09-11,piano,0,265893,[]
0f9fM6DdpJM79NQ1XbHcjJ,Ben Folds,Still Fighting It,41,2001-09-11,singer-songwriter,0,265893,[]
1ODA4mZMaoBzT1TbPBW8B1,Lucy Rose,Shiver,51,2012,folk,0,233013,[]
01VFDkHBNJcCNUjzD3flWg,Madonna,The Power of Good-Bye,58,1998-03-03,pop,0,250560,[]
1ZMiCix7XSAbfAJlEZWMCp,Harry Styles,Falling,88,2019-12-13,pop,0,240133,[]
6XYTdS3FRzfZh3Umid2ILx,Saliva,Rest In Pieces,41,2002-11-12,rock,0,226733,[]
7csA0DPfWfQMnFypUMqWEQ,Yellowcard,View From Heaven,40,2003-01-01,pop punk,0,202000,[]
71AATBHZGo82EnjZnG53Zx,Jessie Ware,Say You Love Me,59,2014-08-04,soul,0,257484,[]
3hJmlx1CP73cTbSRgr1WHt,The White Stripes,Jolene,41,2010-03-16,rock,0,234973,[]
3N6V8ppRNlbAhqwFzlGgHP,The Cranberries,Everything I Said,47,1994-10-03,rock,0,232760,[]
2rbDhOo9Fh61Bbu23T2qCk,Lady Gaga,Always Remember Us This Way,79,2018-10-05,soundtrack,0,210200,[]
3ZKRAzNAsiJrBGUM2BX9av,Lana Del Rey,13 Beaches,63,2017-07-21,ambient pop,0,295569,[]
3hJoAM3O7q1i70lJRf8Cky,Mayday Parade,Three Cheers For Five Years,53,2007-05-08,emo,0,290787,[]
2Jr39bnXx3WOUmdlI4S00f,John Mayer,Wheel,45,2003-09-09,singer-songwriter,0,332827,[]
0ZFUn5dFxuN3Um8y6ubX93,Hawthorne Heights,Saying Sorry,52,2006,emo,0,187680,[]
0AQqrtK1pULuwZUXhwaaDz,Eric Carmen,All By Myself,64,1975-01-01,pop,0,430000,[]
3QkTIg9pFStcRvsC3SA10t,Slint,Washer,46,1991-03-15,post-rock,0,530027,[]
1VAHPBdVBQuZxiCQ8yM6R9,Brand New,The No Seatbelt Song,39,2001,emo,0,271840,[]
1ubvV5ECkm6nSI6g1HmbBK,Taylor Swift,Dear John,60,2010-10-25,country,0,403920,[]
51ChrwmUPDJvedPQnIU8Ls,Ed Sheeran,Dive,75,2017-03-03,pop,0,238440,[]
0vKGvQdkbesI7RGKX3tRyk,Sum 41,Best Of Me,52,2007-01-01,punk,0,265787,[]
1P5dqn2alGf98KJzWU6iCE,The Smashing Pumpkins,"Try, Try, Try",47,2000-02-29,alternative rock,0,309027,[]
7ySbfLwdCwl1EM0zNCJZ38,Mariah Carey,One Sweet Day,69,1995-09-26,pop,0,281067,['Boyz II Men']
2tUhCTpGeEfssyYTeu0chm,Coheed and Cambria,Wake Up,51,2005-01-15,progressive rock,1,215947,[]
5ATUmaVJWUTTagmPwQLck3,Bob Dylan,One Too Many Mornings,42,1964-01-13,folk,0,157524,[]
0YK7uBYSa7ereS84nm9ElY,The Cranberries,Disappointment,42,1994-10-03,rock,0,254733,[]
2H2V8zM6H5RUg8dXfIhpNf,R.E.M.,Country Feedback,41,1991-03-12,rock,1,249320,[]
4MNxOR2Fu4NqJ892UdYx0h,Bob Dylan,Bob Dylan's Dream,43,1963-05-27,folk,0,300107,[]
02eD9ymfJOJOhM97HYp5R9,Miranda Lambert,The House That Built Me,66,2009-09-24,country,0,236627,[]
6S7mmHgyWOG6pIYuL4YrfQ,Staind,Right Here,60,2005-08-08,rock,0,253933,[]
1wFHaejvuM6l8AyuDciLYl,Cake,Sad Songs and Waltzes,36,1996-09-17,alternative,0,195960,[]
3m6ErylZBDiy7KQPFW8QFv,Taking Back Sunday,My Blue Heaven,42,2006-04-25,emo,0,247227,[]
6BbOlYFXUxEIXGHJcIkvme,Dashboard Confessional,Ghost Of A Good Thing,38,2003-01-01,emo,0,224573,[]
1JCCdiru7fhstOIF4N7WJC,5 Seconds of Summer,Amnesia,69,2014-06-27,pop,0,237248,[]
791YTMSeD7SPGWHLIe61ew,2Pac,Brenda's Got A Baby,57,1991-11-12,rap,1,233467,[]
0eYcZLnlLKaItC1WC4B1pc,Good Charlotte,Emotionless,42,2002-10-04,rock,0,242933,[]
2vdBo4ALPYbHRUPKgtE5iC,Ariana Grande,ghostin,72,2019-02-08,pop,0,271467,[]
3J0cTSuhrsoG9lY2AonjmH,The Used,Noise and Kisses,43,2002-06-25,screamo,0,169160,[]
6wNeKPXF0RDKyvfKfri5hf,Melanie Martinez,Dollhouse,72,2015-08-14,pop,0,231853,[]
7AFASza1mXqntmGtbxXprO,xxxtentacion,changes,85,2018-03-16,emo,0,121887,['XXXTENTACION']
4ruWQbEKkM4Jx4OAzQ791o,Counting Crows,Holiday In Spain,36,2002-07-08,rock,0,228747,[]
56hMpSZ6CZ2gjmdKdNN8pz,Nada Surf,Inside Of Love,40,2003,indie,0,298667,[]
5eXnC2B5RU5fAhfwvV2ABD,Seafret,Oceans,69,2016-01-29,british,0,215440,[]
1ER1LD0u0mgQZV0QE7cyVY,Natasha Bedingfield,Wild Horses,47,2004-08-30,pop,0,241200,[]
6ex6gjvDxvHjyzutHmLV7A,Dave Matthews Band,Let You Down,39,1996-04-30,acoustic,0,247400,[]
0c3fJd2HRi6uHWgTljIae5,Breaking Benjamin,Dear Agony,60,2009-01-01,alternative rock,0,258253,[]
2ph0hzV1kCVhR82E2La4q5,Meat Loaf,Two Out of Three Ain't Bad,61,1977-10-21,classic rock,0,324440,[]
4ppTAJUbNXELZcoUaL90wo,The Weeknd,Try Me,71,2018-03-30,soul,0,221107,[]
1D27z8xNzjW0Mwwt1NCWhJ,Taylor Swift,Last Kiss,56,2010-10-25,country,0,367133,[]
1KnJwhZU3DIBe54Q4HPpIl,Rihanna,Higher,63,2016-01-28,soul,1,120627,[]
56twMOlq9DJc3EgpVUVIrW,Demi Lovato,Stone Cold,67,2015-10-16,pop,0,191308,[]
5lvnGiTAH9BVlJLHc0DXZz,Ariana Grande,Just A Little Bit Of Your Heart,68,2014-08-25,pop,0,232587,[]
69xCAS35btSkJ2zKNdBz23,Violent Femmes,Good Feeling,48,1983-04-13,alternative,0,236840,[]
61hmCqoIlTJjcVMMLhcH5n,Keith Urban,Tonight I Wanna Cry,55,2004-01-01,country,0,259507,[]
5OU9pkK0wkHJMCOBVYafye,Motion City Soundtrack,My Favorite Accident,48,2003-06-24,pop punk,0,200200,[]
7DKS0rX27cCEPsK0R6tFWS,The Weeknd,Wasted Times,71,2018-03-30,soul,1,220293,[]
1qbn6QrHG8XfnqVFKgNzKP,Bob Dylan,Not Dark Yet,48,1997-09-30,folk,0,387733,[]
4VuS959DSpr82t3qBqCrWG,Ed Sheeran,Supermarket Flowers,78,2017-03-03,british,0,221107,[]
5sF7hdYvhrcgNq8NZjfK8L,Birdy,Not About Angels,75,2014-04-13,folk,0,189475,[]
2Pn5gvVioma5LHPxgEBBmD,Annie Lennox,"No More ""I Love You's""",64,1995,pop,0,291333,[]
7eJMfftS33KTjuF7lTsMCx,Powfu,death bed (coffee for your head),90,2020-02-08,indie,0,173333,['beabadoobee']
4VTL9bM6qaSTsYGVianqzr,The Script,If You Could See Me Now,47,2012-09-10,pop rock,1,219547,[]
1RC9slv335IfLce5vt9KTW,Goo Goo Dolls,Acoustic #3,49,1998-09-11,acoustic,0,116573,['The Goo Goo Dolls']
7g8OpS827dAYU067lZaR0L,Carrie Underwood,Just a Dream,54,2007-10-23,country,0,284707,[]
5ef3mAxAAjk93V6IpriOrz,Lifehouse,From Where You Are,53,2010,rock,0,181280,[]
4Ds6K8Uu7PEZdFYO3MMRva,Bring Me the Horizon,Suicide Season,43,2008-09-30,metalcore,0,497280,['Bring Me The Horizon']
5uNEaSgkkPw6vLCUh3KsdQ,Jon McLaughlin,Beautiful Disaster,52,2007-01-01,pop,0,251640,[]
03f7xZmt2wHCIDJBFPK8G4,Melanie Martinez,Soap,69,2015-08-14,alternative,0,209427,[]
6bKOjicu3N5gm4AAhueZx7,The Used,Yesterday's Feelings,39,2004-09-27,screamo,0,168187,[]
3LlMf2RPFeWx1Pol8rdMkm,The Cranberries,Not Sorry,46,1993-03-01,rock,0,260000,[]
3ou5YecZiZ83YD8Hfx9bFC,Good Charlotte,Say Anything,43,2002-10-04,rock,0,261240,[]
6iz58z2LC8uHL3H2aiwX6I,NEEDTOBREATHE,Something Beautiful,54,2009-08-21,rock,0,220613,[]
27MdefmKyCpfro5pwnj0Ne,Change,Searching,37,1980,soul,0,483439,[]
0PKTBeN87JYJ1mRzrq5Aog,[Michael W. Smith],Place In This World,45,1990,pop,0,240173,['Michael W. Smith']
2hiB8QxWic092OablwpoVC,Goo Goo Dolls,Better Days,54,2006,rock,0,213267,['The Goo Goo Dolls']
4xwqKpCkR8ZhCvexcyfUs5,Glee Cast,Take A Bow (Glee Cast Version),54,2009-11-02,soundtrack,0,216667,[]
4eumFsTnduH3zRfaASoAPs,Ariana Grande,My Everything,67,2014-08-25,soul,0,168520,[]
1APu9lSrXWUarvP61myILk,Tom Waits,Blue Valentines,41,1978-09-05,blues,0,350231,[]
1vZTgn4JXWMahR8r99ug5H,Barbra Streisand,The Way We Were,64,1974-01,soundtrack,0,211093,[]
5uir0D2kSUtWug1kK8HUkb,Glee Cast,Lean On Me (Glee Cast Version),49,2009-12-08,soundtrack,0,257240,[]
3oInpJE7Rcn24d6KI0KBlM,Dave Matthews Band,Angel,41,2001-02-27,rock,0,236867,[]
